,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,M,2021-01-04 21:32:29,2020-12-07, DFCO,Dalrada Financial Corp,Bonar Brian,CEO,P - Purchase,$0.16,"+37,250","5,245,315",+1%,"+$6,045",,,,
1,,2021-01-04 21:28:10,2020-12-30, ROOT,"Root, Inc.",Malka Meyer,10%,P - Purchase,$16.55,"+753,976","1,753,976",+75%,"+$12,477,184",,,,
2,D,2021-01-04 18:26:24,2020-12-31, PFHO,Pacific Health Care Organization Inc,Kubota Tom,"CEO, Pres, 10%",P - Purchase,$1.00,"+1,000","7,891,000",0%,"+$1,000",,,,
3,,2021-01-04 18:02:54,2020-12-30, GRTS,"Gritstone Oncology, Inc.",Woiwode Thomas,Dir,P - Purchase,$3.71,"+1,347,709","4,450,638",+43%,"+$5,000,000",,,,
4,,2021-01-04 18:02:20,2020-12-05, WAB,Westinghouse Air Brake Technologies Corp,Schweitzer Pascal,"Pres, Services Group",P - Purchase,$74.74,+700,"7,867",+10%,"+$52,318",,,,
5,ADM,2021-01-04 18:02:07,2020-12-17, PFHO,Pacific Health Care Organization Inc,Kubota Tom,"CEO, Pres, 10%",P - Purchase,$1.00,"+10,000","7,890,000",0%,"+$10,000",,,,
6,,2021-01-04 17:51:13,2020-12-30, PBFX,Pbf Logistics LP,Control Empresarial De Capitales S.A. De C.V.,"Add'l Rep. Persons-see Ex.99-1, 10%",P - Purchase,$8.79,"+12,500","7,232,858",0%,"+$109,828",,,,
7,,2021-01-04 17:43:44,2021-01-04, AUBN,"Auburn National Bancorporation, Inc",Andrus Terry W,Dir,P - Purchase,$42.43,+33,"3,657",+1%,"+$1,400",,,,
8,,2021-01-04 17:14:44,2021-01-04, CARE,"Carter Bankshares, Inc.",Adams Arthur Loran,"EVP, Dir OF REG RISK MNGT",P - Purchase,$10.63,+27,"2,218",+1%,+$287,,,,
9,M,2021-01-04 17:13:36,2020-12-28, CNBKA,Century Bancorp Inc,Filler James J,10%,P - Purchase,$77.38,+928,"857,373",0%,"+$71,806",,,,
10,,2021-01-04 17:10:07,2020-12-30, PDLI,"Pdl Biopharma, Inc.",Silver Point Capital L.P.,10%,P - Purchase,$2.50,"+6,325,213","23,783,273",+36%,"+$15,813,033",,,,
11,M,2021-01-04 17:04:58,2020-12-30, AUB,Atlantic Union Bankshares Corp,Ellett Frank Russell,Dir,P - Purchase,$32.66,"+3,000","11,708",+34%,"+$97,980",,,,
12,,2021-01-04 17:01:25,2020-12-30, TNXP,Tonix Pharmaceuticals Holding Corp.,Lederman Seth,CEO,P - Purchase,$0.68,"+35,000","119,291",+42%,"+$23,800",,,,
13,,2021-01-04 16:53:26,2021-01-01, NA,Highwater Ethanol LLC,Derickson Russell Jon,Dir,P - Purchase,"$5,850.00",+1,16,+7%,"+$5,850",,,,
14,,2021-01-04 16:47:31,2020-12-31, GEF,"Greif, Inc",Hilsheimer Lawrence A.,"EVP, CFO",P - Purchase,$49.24,"+4,750","159,329",+3%,"+$233,912",,,,
15,,2021-01-04 16:47:04,2020-12-31, BNED,"Barnes & Noble Education, Inc.",Levenick Zachary,Dir,P - Purchase,$4.73,"+20,000","145,000",+16%,"+$94,600",,,,
16,,2021-01-04 16:26:12,2020-12-30, BMNM,"Bimini Capital Management, Inc.",Dwyer Robert J,"Dir, 10%",P - Purchase,$1.02,"+4,031","1,211,723",0%,"+$4,112",,,,
17,,2021-01-04 16:25:46,2020-12-30, CSV,Carriage Services Inc,Schenck James Raymond,Dir,P - Purchase,$31.08,"+1,000","23,012",+5%,"+$31,080",,,,
18,,2021-01-04 16:16:21,2020-12-30, MCHX,Marchex Inc,"Edenbrook Capital, LLC",10%,P - Purchase,$1.75,"+40,748","12,005,206",0%,"+$71,105",,,,
19,D,2021-01-04 14:48:07,2020-12-30, NJMC,New Jersey Mining Co,Morgan Robert John,VP Exploration,P - Purchase,$0.18,"+25,000","195,000",+15%,"+$4,500",,,,
20,D,2021-01-04 14:36:18,2020-12-30, NJMC,New Jersey Mining Co,Swallow John,"Pres, CEO",P - Purchase,$0.12,"+250,000","16,987,373",+1%,"+$30,000",,,,
21,D,2021-01-04 14:27:20,2020-12-30, NJMC,New Jersey Mining Co,Brackebusch Grant A,VP,P - Purchase,$0.12,"+250,000","1,406,093",+22%,"+$30,000",,,,
22,,2021-01-04 13:18:37,2020-12-30, FRAF,Franklin Financial Services Corp /pa/,Craig Kevin W,Dir,P - Purchase,$29.84,+168,"3,948",+4%,"+$5,013",,,,
23,,2021-01-04 13:15:47,2020-12-30, FRAF,Franklin Financial Services Corp /pa/,Duffey Gregory A,Dir,P - Purchase,$29.84,+34,"7,404",0%,"+$1,015",,,,
24,,2021-01-04 13:13:43,2020-12-30, FRAF,Franklin Financial Services Corp /pa/,Hanks Patricia A,SVP,P - Purchase,$29.84,+3,"3,692",0%,+$90,,,,
25,,2021-01-04 13:11:00,2020-12-30, FRAF,Franklin Financial Services Corp /pa/,Carmack Karen K,SVP,P - Purchase,$29.84,+1,"1,460",0%,+$30,,,,
