,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,DM,2023-02-14 21:05:26,2023-01-20, PRCH,"Porch Group, Inc.",Park West Asset Management LLC,10%,P - Purchase,$2.47,"+2,172,844","12,267,707",+22%,"+$5,358,145",,,,
1,M,2023-02-14 21:03:33,2023-02-10, PI,Impinj Inc,Sylebra Capital Ltd,10%,P - Purchase,$125.13,"+111,697","2,768,085",+4%,"+$13,976,391",,,,
2,D,2023-02-14 20:22:32,2023-01-05, OLB,"Olb Group, Inc.",Herzog John E,10%,P - Purchase,$0.91,"+18,000","1,044,740",+2%,"+$16,297",,,,
3,,2023-02-14 20:00:50,2023-01-05, CRWD,"Crowdstrike Holdings, Inc.",Austin Roxanne S,Dir,P - Purchase,$99.00,"+15,500","115,919",+15%,"+$1,534,500",,,,
4,,2023-02-14 19:01:41,2023-02-14, KMPR,Kemper Corp,Paracchini Alberto J,Dir,P - Purchase,$63.63,+500,"1,065",+88%,"+$31,815",,,,
5,,2023-02-14 19:00:58,2017-12-22, AIG,"American International Group, Inc.",Jurgensen William G,Dir,P - Purchase,$60.34,+80,"15,080",+1%,"+$4,800",,,,
6,,2023-02-14 18:35:17,2023-02-10, PET,Wag! Group Co.,Yee Brian,Dir,P - Purchase,$2.64,"+992,436","6,341,070",+19%,"+$2,620,031",,,,
7,,2023-02-14 18:33:10,2023-02-10, PET,Wag! Group Co.,Stanford Scott,10%,P - Purchase,$2.64,"+992,436","6,341,070",+19%,"+$2,620,031",,,,
8,M,2023-02-14 18:30:38,2023-02-10, FRSH,Freshworks Inc.,"Westbridge Crossover Fund, LLC",10%,P - Purchase,$15.78,"+279,564","16,512,210",+2%,"+$4,412,479",,,,
9,M,2023-02-14 17:53:38,2023-02-10, ASPS,Altisource Portfolio Solutions S.A.,"Deer Park Road Management Company, LP","See Remarks, 10%",P - Purchase,$4.98,"+441,000","4,236,899",+12%,"+$2,194,492",,,,
10,AD,2023-02-14 17:47:50,2023-01-04, CMRA,"Comera Life Sciences Holdings, Inc.",Sherblom James,Dir,P - Purchase,$1.23,"+81,081","452,244",+22%,"+$99,730",,,,
11,D,2023-02-14 17:47:48,2023-02-10, VAPO,Vapotherm Inc,Berry Lance A,Dir,P - Purchase,$1.05,"+95,238","134,887",+240%,"+$100,000",,,,
12,AD,2023-02-14 17:42:11,2023-01-04, CMRA,"Comera Life Sciences Holdings, Inc.",Randle Stuart A,Dir,P - Purchase,$1.23,"+33,783","42,469",+389%,"+$41,553",,,,
13,,2023-02-14 17:38:56,2023-02-10, HTLD,Heartland Express Inc,Ann S. Gerdin Revocable Trust,"Co-Trustee of 10% Owner, 10%",P - Purchase,$15.99,"+2,152","25,594,552",0%,"+$34,410",,,,
14,AD,2023-02-14 17:34:50,2023-01-04, CMRA,"Comera Life Sciences Holdings, Inc.",Finck Barbara K,Dir,P - Purchase,$1.23,"+6,756","23,033",+42%,"+$8,310",,,,
15,,2023-02-14 17:32:31,2023-02-10, HTLD,Heartland Express Inc,Gerdin Michael J,"CEO, 10%",P - Purchase,$15.99,"+8,421","30,848,913",0%,"+$134,639",,,,
16,AD,2023-02-14 17:31:42,2023-01-04, CMRA,"Comera Life Sciences Holdings, Inc.",Sullivan Edward Aloysius Jr.,Dir,P - Purchase,$1.23,"+10,979","19,665",+126%,"+$13,504",,,,
17,AD,2023-02-14 17:27:36,2023-01-04, CMRA,"Comera Life Sciences Holdings, Inc.",Flowers Kirsten,Dir,P - Purchase,$1.23,"+13,513","22,199",+156%,"+$16,621",,,,
18,D,2023-02-14 17:27:00,2023-02-10, VAPO,Vapotherm Inc,Landry John,"SVP, CFO",P - Purchase,$1.05,"+71,428","398,342",+22%,"+$74,999",,,,
19,AD,2023-02-14 17:21:58,2023-01-04, CMRA,"Comera Life Sciences Holdings, Inc.",Banerjee Sirshendu Roopom,Dir,P - Purchase,$1.23,"+20,270","28,956",+233%,"+$24,932",,,,
20,D,2023-02-14 17:17:30,2023-02-10, VAPO,Vapotherm Inc,McKay Dorota,"VP, Controller, CAO",P - Purchase,$1.05,"+19,047","50,982",+60%,"+$19,999",,,,
21,D,2023-02-14 17:09:23,2023-02-10, VAPO,Vapotherm Inc,Liken James W,Dir,P - Purchase,$0.00,"+238,095","485,473",+96%,+$0,,,,
