,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,M,2022-01-19 21:32:52,2022-01-14, PFMT,Performant Financial Corp,"Prescott Group Capital Management, L.L.C.",10%,P - Purchase,$2.04,"+496,219","14,520,163",+4%,"+$1,012,584",,,,
1,,2022-01-19 21:01:00,2022-01-19, NYC,"New York City Reit, Inc.",Tuppeny Elizabeth K.,Dir,P - Purchase,$11.83,"+9,200","20,428",+82%,"+$108,836",,,,
2,,2022-01-19 20:04:20,2022-01-19, BKGM,Bankguam Holding Co,Cook Joaquin Phillip Leon Guerrero,"CEO, Pres",P - Purchase,$11.50,"+1,678","8,569",+24%,"+$19,297",,,,
3,M,2022-01-19 19:56:07,2022-01-14, SFIX,"Stitch Fix, Inc.",Working Capital Advisors (Uk) Ltd.,10%,P - Purchase,$16.39,"+500,000","11,879,753",+4%,"+$8,194,305",,,,
4,,2022-01-19 19:53:02,2022-01-18, BBBY,Bed Bath & Beyond Inc,Hartmann John R.,"EVP, COO",P - Purchase,$15.00,"+6,667","700,166",+1%,"+$100,005",,,,
5,M,2022-01-19 19:20:21,2022-01-14, STTK,"Shattuck Labs, Inc.",Brous Tyler,Dir,P - Purchase,$7.00,"+8,000","229,672",+4%,"+$56,035",,,,
6,,2022-01-19 18:43:36,2022-01-19, ABSI,Absci Corp,McClain Sean,"Pres, Chief Exec",P - Purchase,$6.92,"+7,155","8,638,942",0%,"+$49,513",,,,
7,,2022-01-19 17:51:09,2022-01-14, S,"Sentinelone, Inc.",Begley Charlene T,Dir,P - Purchase,$42.80,"+1,395","1,395",New,"+$59,707",,,,
8,M,2022-01-19 17:46:17,2022-01-18, SAFE,Safehold Inc.,Istar Inc.,10%,P - Purchase,$68.60,"+14,563","36,673,291",0%,"+$999,036",,,,
9,,2022-01-19 17:35:37,2022-01-18, ALZN,"Alzamend Neuro, Inc.",Ault Milton C III,10%,P - Purchase,$1.66,"+7,000","32,220,000",0%,"+$11,619",,,,
10,D,2022-01-19 17:13:40,2022-01-14, EMLDU,Ftac Emerald Acquisition Corp.,"Emerald Esg Sponsor, LLC",10%,P - Purchase,$0.00,"+86,081","976,081",+10%,+$0,,,,
11,D,2022-01-19 17:12:54,2022-01-14, EMLDU,Ftac Emerald Acquisition Corp.,Cohen Betsy Z,"Dir, 10%",P - Purchase,$0.00,"+86,081","976,081",+10%,+$0,,,,
12,,2022-01-19 17:05:22,2022-01-14, GLS,"Gelesis Holdings, Inc.",Kucherlapati Raju S,Dir,P - Purchase,$6.67,"+15,000","15,000",New,"+$100,050",,,,
13,,2022-01-19 16:54:04,2022-01-14, KFS,Kingsway Financial Services Inc,Fitzgerald John Taylor Maloney,"Pres, CEO",P - Purchase,$5.42,+384,"1,917,370",0%,"+$2,081",,,,
14,,2022-01-19 16:47:32,2022-01-14, KFS,Kingsway Financial Services Inc,Hansen Kent A,"CFO, EVP",P - Purchase,$5.42,+276,"88,880",0%,"+$1,496",,,,
15,,2022-01-19 16:30:29,2022-01-18, REPH,"Recro Pharma, Inc.",Enloe J David Jr,CEO,P - Purchase,$1.68,+602,"154,759",0%,"+$1,011",,,,
16,M,2022-01-19 16:29:45,2022-01-14, CPSS,"Consumer Portfolio Services, Inc.","Black Diamond Capital Management, L.L.C.",10%,P - Purchase,$10.63,"+24,043","4,120,105",+1%,"+$255,559",,,,
17,,2022-01-19 16:07:03,2022-01-18, ENTX,Entera Bio Ltd.,Mayron Ron,Dir,P - Purchase,$2.80,"+7,000","7,000",New,"+$19,600",,,,
18,,2022-01-19 16:04:52,2022-01-14, ENTX,Entera Bio Ltd.,Toledano Miranda Jayne,Dir,P - Purchase,$2.79,"+6,800","6,800",New,"+$18,971",,,,
19,,2022-01-19 16:02:25,2022-01-18, ENTX,Entera Bio Ltd.,Ellis Sean,Dir,P - Purchase,$2.81,"+10,000","10,000",New,"+$28,050",,,,
20,,2022-01-19 15:52:35,2022-01-18, NSTS,"Nsts Bancorp, Inc.",Walker Nathan E,Pres,P - Purchase,$10.00,"+30,000","30,000",New,"+$300,000",,,,
21,,2022-01-19 15:50:51,2022-01-18, NSTS,"Nsts Bancorp, Inc.","True Rodney J,",Dir,P - Purchase,$10.00,"+30,000","30,000",New,"+$300,000",,,,
22,,2022-01-19 15:48:23,2022-01-18, NSTS,"Nsts Bancorp, Inc.",Lear Stephen G.,CEO,P - Purchase,$10.00,"+30,000","30,000",New,"+$300,000",,,,
23,,2022-01-19 15:45:50,2022-01-18, NSTS,"Nsts Bancorp, Inc.",Kneesel Thomas J,Dir,P - Purchase,$10.00,"+20,000","20,000",New,"+$200,000",,,,
24,,2022-01-19 15:43:15,2022-01-18, NSTS,"Nsts Bancorp, Inc.",Ivantic Thomas M,Dir,P - Purchase,$10.00,"+20,000","20,000",New,"+$200,000",,,,
25,,2022-01-19 15:40:52,2022-01-18, NSTS,"Nsts Bancorp, Inc.",Bond Thaddeus M. Jr.,Dir,P - Purchase,$10.00,"+30,000","30,000",New,"+$300,000",,,,
26,,2022-01-19 15:38:20,2022-01-18, NSTS,"Nsts Bancorp, Inc.",Avakian Amy L,Chief Lending Officer,P - Purchase,$10.00,"+30,000","30,000",New,"+$300,000",,,,
27,,2022-01-19 15:36:06,2022-01-18, NSTS,"Nsts Bancorp, Inc.",Arenas Apolonio,Dir,P - Purchase,$10.00,"+17,500","17,500",New,"+$175,000",,,,
28,M,2022-01-19 15:25:49,2022-01-14, YORW,York Water Co,Dotzel Cynthia,Dir,P - Purchase,$46.06,+43,"15,518",0%,"+$1,968",,,,
29,M,2022-01-19 15:17:06,2022-01-14, YORW,York Water Co,Bracey Vernon L,VP- Customer Service,P - Purchase,$46.83,+16,"1,118",+1%,+$735,,,,
30,,2022-01-19 15:15:29,2022-01-18, BLFY,Blue Foundry Bancorp,Kinzler Patrick H.,Dir,P - Purchase,$14.44,"+1,579","14,204",+13%,"+$22,801",,,,
31,,2022-01-19 14:59:36,2022-01-19, CYTH,"Cyclo Therapeutics, Inc.",Fine N Scott,CEO,P - Purchase,$3.89,"+5,000","134,666",+4%,"+$19,450",,,,
32,M,2022-01-19 14:48:12,2022-01-18, CRTD,"Creatd, Inc.",Frommer Jeremy,Co-CEO,P - Purchase,$2.02,"+2,472","377,536",+1%,"+$5,004",,,,
33,A,2022-01-19 14:43:16,2021-07-12, NECB,"Northeast Community Bancorp, Inc./Md/",McKenzie John F,Dir,P - Purchase,$10.00,"+2,500","2,500",New,"+$25,000",,,,
34,,2022-01-19 14:38:41,2022-01-19, CYTH,"Cyclo Therapeutics, Inc.",Ostronic Francis Patrick,Dir,P - Purchase,$4.00,"+1,132","111,211",+1%,"+$4,528",,,,
35,,2022-01-19 13:56:17,2022-01-14, CAL,Caleres Inc,Hasty Todd E,"SVP, Chief Accounting Officer",P - Purchase,$22.69,"+3,300","23,640",+16%,"+$74,877",,,,
36,M,2022-01-19 13:19:44,2022-01-14, YORW,York Water Co,Chiaruttini Alexandra C,"CAO, GC",P - Purchase,$46.97,+29,294,+11%,"+$1,352",,,,
37,M,2022-01-19 13:12:13,2022-01-14, YORW,York Water Co,Hand Joseph Thomas,"CEO, Pres",P - Purchase,$46.83,+293,"20,681",+1%,"+$13,724",,,,
