,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,2024-05-07 20:51:27,2024-05-07, SHEN,Shenandoah Telecommunications Co/va/,Schultz Leigh Ann,Dir,P - Purchase,$14.27,+278,"20,690",+1%,"+$3,967",,,,
1,,2024-05-07 19:48:46,2024-05-07, SHEN,Shenandoah Telecommunications Co/va/,McKay Edward H,"EVP, COO",P - Purchase,$14.95,"+10,000","66,951",+18%,"+$149,450",,,,
2,,2024-05-07 19:44:30,2024-05-07, SHEN,Shenandoah Telecommunications Co/va/,Mason Richard W Jr,"SVP Engineering, Operations",P - Purchase,$14.73,"+2,000","14,501",+16%,"+$29,467",,,,
3,,2024-05-07 19:39:05,2024-05-07, SHEN,Shenandoah Telecommunications Co/va/,Rieger Derek,"VP Legal, GC, Sec",P - Purchase,$14.64,+685,"4,321",+19%,"+$10,028",,,,
4,,2024-05-07 18:07:55,2024-05-07, MASS,908 Devices Inc.,Knopp Kevin J.,"Pres, CEO",P - Purchase,$5.60,"+10,000","1,010,204",+1%,"+$56,000",,,,
5,D,2024-05-07 17:53:27,2024-05-06, EW,Edwards Lifesciences Corp,Zovighian Bernard J,CEO,P - Purchase,$85.74,+580,"50,104",+1%,"+$49,753",,,,
6,M,2024-05-07 17:36:27,2024-05-03, CTRN,Citi Trends Inc,"Fund 1 Investments, LLC",10%,P - Purchase,$22.78,"+20,830","2,001,897",+1%,"+$474,604",,,,
7,,2024-05-07 17:30:01,2024-05-03, HTLD,Heartland Express Inc,Ann S. Gerdin Revocable Trust,"Co-Trustee of 10% Owner, 10%",P - Purchase,$10.74,"+8,089","30,702,050",0%,"+$86,899",,,,
8,,2024-05-07 17:25:45,2024-05-07, UUUU,Energy Fuels Inc,Hansen Bruce D,Dir,P - Purchase,$5.83,"+6,000","276,380",+2%,"+$34,950",,,,
9,,2024-05-07 17:19:50,2024-05-07, WSC,Willscot Mobile Mini Holdings Corp.,Soultz Bradley Lee,CEO,P - Purchase,$38.44,"+5,000","688,372",+1%,"+$192,200",,,,
10,,2024-05-07 17:14:50,2024-05-07, ASUR,Asure Software Inc,Goepel Patrick,"COB, CEO",P - Purchase,$7.28,+100,"1,141,997",0%,+$728,,,,
11,M,2024-05-07 17:08:59,2024-05-06, HRTG,"Heritage Insurance Holdings, Inc.",Garateix Ernie J,CEO,P - Purchase,$8.20,"+10,000","1,067,584",+1%,"+$82,000",,,,
12,D,2024-05-07 17:06:34,2024-05-06, CRVS,"Corvus Pharmaceuticals, Inc.",Jones William Benton,See Remarks,P - Purchase,$1.73,"+20,000","153,773",+15%,"+$34,624",,,,
13,D,2024-05-07 17:05:52,2024-05-06, CRVS,"Corvus Pharmaceuticals, Inc.",Miller Richard A Md,"Pres, CEO",P - Purchase,$1.73,"+577,634","2,067,753",+39%,"+$1,000,000",,,,
14,,2024-05-07 17:03:11,2024-05-07, ASUR,Asure Software Inc,Goepel Patrick,"COB, CEO",P - Purchase,$7.28,"+1,009","1,141,897",0%,"+$7,346",,,,
